COLETIVO Bienal de São Paulo F981  2010 Coleção Bibliográfica 
INDIVIDUAL EUVALDO, Célia E91c  2011 Coleção Bibliográfica
COLETIVO Celma Albuquerque Galeria de Arte C392n  1999 Coleção Bibliográfica 
COLETIVO Celma Albuquerque Galeria de Arte C393d  1999 Coleção Bibliográfica 
COLETIVO Galeria Celma Albuquerque G154c  1998 Coleção Bibliográfica 
INDIVIDUAL KAUFMAN, Seth K21s  2000 Coleção Bibliográfica 
COLETIVO Centro Cultural São Paulo C397p  2010 Coleção Bibliográfica 
INDIVIDUAL ARP, Hans A772h  2014
COLETIVO Serviço Social do Comércio. SESC S491  2006 Coleção Bibliográfica 
COLETIVO Ciclo de confluências C568i  2012
INDIVIDUAL  MEIRELES, Cildo M514c  2005 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Nordeste Fortaleza C397c  [201-?] Coleção Bibliográfica
COLETIVO Vivo arte.mov V863  2012 Coleção Bibliográfica 
COLETIVO Circuitos Compartilhados C578  2008 Coleção Bibliográfica 
INDIVIDUAL GOTO G683c  2012 Coleção Bibliográfica 
INDIVIDUAL  SILVEIRA, Regina S587c  2007 Coleção Bibliográfica 
COLETIVO The Paragon Press T374c  Coleção Bibliográfica 
INDIVIDUAL AMÉRICO, Waléria A512c  2008 Coleção Bibliográfica
INDIVIDUAL ALMEIDA, Márcio A447c  2012 Coleção Bibliográfica 
INDIVIDUAL MIRANDA, Laura M672c  1992 Coleção Bibliográfica 
COLETIVO Santander Cultural S232c  2012 Coleção Bibliográfica
COLETIVO Santander Cultural S232c  2012 Coleção Bibliográfica
INDIVIDUAL MARTINS, Mara M379c  2005 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Nordeste Fortaleza C397c  2005 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Nordeste Fortaleza C397c  2011 Coleção Bibliográfica
COLETIVO Centro Cultural Banco do Nordeste Fortaleza C397c  2009 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Nordeste Cariri C397c  2008 Coleção Bibliográfica 
INDIVIDUAL CALDAS, Waltercio C145c  2012 Coleção Bibliográfica 
INDIVIDUAL LEAL, Paulo Roberto L435d  2007
INDIVIDUAL FLAVIN, Dan F589d  1998 Coleção Bibliográfica 
COLETIVO  Oi Futuro O39d  2008 Coleção Bibliográfica
COLETIVO  Oi Futuro O39d  2007  Coleção Bibliográfica 
Coleção Bibliográfica  COLETIVO  Oi Futuro  O39d  2009 
INDIVIDUAL SENISE, Daniel S477d  2011 Coleção Bibliográfica 
INDIVIDUAL DANZIGER, Leila D199e  2012 Coleção Bibliográfica 
INDIVIDUAL UCHÔA, Delson U17d  2005 Coleção Bibliográfica
INDIVIDUAL Deneir D392a  2008 Coleção Bibliográfica 
COLETIVO Itaú Cultural I88d  2000 Coleção Bibliográfica 
COLETIVO  Serviço Social do Comércio. SESC S491d  2008 Coleção Bibliográfica
INDIVIDUAL KOSSOY, Leonardo K86d  2005 Coleção Bibliográfica
COLETIVO Galerie Debret D487  1996 Coleção Bibliográfica 
INDIVIDUAL GRANATO, Ivald G751  1987 Coleção Bibliográfica 
INDIVIDUAL DJANIRA D623d  2000 Coleção Bibliográfica
INDIVIDUAL SOUZA, Edgard S719e  1998 Coleção Bibliográfica 
COLETIVO Ístanbul Bienali B588  2011 Coleção Bibliográfica 
INDIVIDUAL BRACHER, Elisa B797e  2012 Coleção Bibliográfica
INDIVIDUAL BRACHER, Elisa B796e  1993 Coleção Bibliográfica 
